,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,7556.0,98.08464711675772,60.25113792221106,141.8085392101092,94.12555055458347,2555.3312216448116,116,166.79522895712017,255
2,4.5,2.393653682408596,-87.40001833189815,3.708360954253563,1.519798482703983,6.810660171779821,122,155.66666666666666,174
3,314.25,20.002887964817102,82.0163215814545,31.674790756006526,19.850729962046735,145.79036790187178,116,154.47653142402547,190
4,10.0,3.5682482323055424,35.47138588322213,4.0247176181066795,3.277063944219229,10.828427124746192,121,145.1,160
5,6.0,2.763953195770684,88.22110561163582,5.377245636463542,1.4343819530920003,9.207106781186548,123,148.25,168
6,11.5,3.826519928662906,-88.78414385284414,6.128342003509417,2.5238265155237483,13.535533905932738,116,137.08695652173913,163
7,65.25,9.114761669619748,-85.9409034133895,12.252702320793901,7.220873338237811,32.485281374238575,117,135.6743295019157,150
8,248.25,17.778687155707086,48.712601993417884,22.02758753790082,16.392370508692018,97.76955262170048,116,145.3413897280967,172
9,5.0,2.5231325220201604,3.3795417718878564,4.3007778953749645,1.4776026173007741,7.810660171779822,117,129.9,141
10,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,119,140.22222222222223,164
11,23.5,5.4700209598571305,-44.98882300656329,5.873053482908515,5.136370252774521,17.071067811865476,116,143.0,169
12,20.75,5.140011726956917,-85.32782827279891,5.46297639698855,4.8609630631076985,15.778174593052022,121,135.2289156626506,153
13,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,120,130.66666666666666,140
14,3.75,2.1850968611841584,45.00001609038752,2.309401076758503,2.0132891827388666,5.707106781186548,116,130.6,141
15,65.0,9.09728368293446,-15.887004133113315,11.743725125161554,8.506896440450802,46.74568901432423,116,159.10384615384615,184
16,6.75,2.9316150714175193,-48.467191780759634,3.6212356410222677,2.398092984655567,8.82842712474619,118,148.77777777777777,184
17,15.75,4.478115991081385,-85.00819166608466,6.103692382937253,3.413793255895125,15.242640687119286,116,145.79365079365078,172
18,28.75,6.050259243299904,-17.713856446556388,8.081836536424385,4.6879390611290965,20.77817459305202,117,134.3913043478261,157
19,52.5,8.175883811466258,-25.5069475512797,11.970706381471349,6.2991604431616,32.4350288425444,116,134.10476190476192,156
20,5.25,2.5854414729132054,4.447930075251497,3.246767819546955,2.051048035927536,7.414213562373095,117,145.61904761904762,167
21,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,143,157.22222222222223,174
22,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,137,153.08333333333334,166
23,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,117,127.66666666666667,149
24,5.25,2.5854414729132054,-45.00001609038752,3.0550504633038935,2.291658936288755,7.707106781186548,116,131.76190476190476,150
25,104.75,11.54867275105708,36.78128058395882,15.796626078801362,9.05761711875623,48.67766952966369,117,148.6348448687351,173
26,30.5,6.231677632421503,-16.21379711184086,7.682576038991795,5.081470957589692,19.94974746830583,117,139.2622950819672,167
27,10.75,3.6996385101659595,-6.87481428325114,6.415602815778186,2.3449466862241533,13.82842712474619,118,131.2093023255814,146
28,13.75,4.1841419359420025,-48.64513862112747,5.148190639903024,3.4062559234747227,12.949747468305832,118,143.43636363636364,162
29,13.75,4.1841419359420025,-32.89453452518103,5.864191768511576,2.9794916688254744,13.363961030678928,117,156.6909090909091,193
30,4.5,2.393653682408596,-23.109445880672464,2.7712967309465366,1.9966424556519138,6.414213562373095,117,141.05555555555554,177
31,36.0,6.770275002573076,-5.071702023105583,8.416750504582108,5.538388126737081,22.071067811865476,116,135.17361111111111,151
32,62.75,8.938444016277748,83.07301117038328,11.512805368873552,7.549556014947204,32.55634918610404,116,153.62948207171314,178
33,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,126,139.11111111111111,158
34,186.25,15.399378727952763,71.92041313335731,16.531578626830495,14.561034086019461,59.33452377915607,116,143.68859060402684,173
35,11.5,3.826519928662906,-11.195111129526511,4.185196657552074,3.5007706977546653,11.535533905932738,118,133.1304347826087,150
36,21.25,5.201570947860099,-46.029526491662935,8.019717860570317,4.131770840830854,21.13908729652601,116,156.48235294117646,182
37,17.0,4.652426491681278,-3.378829591329147,5.339124439366004,4.152559478317518,14.535533905932738,119,160.19117647058823,182
38,25.75,5.725898905580716,22.35585240007088,6.79185968996899,5.014801735563854,18.828427124746188,117,156.44660194174756,176
39,16.25,4.54864184146723,-69.43048484857013,6.895287770266766,3.5311765388665477,17.242640687119284,117,134.0,150
40,8.5,3.2897623212397704,-63.14716120897712,3.7695025530871473,2.854339133031063,9.535533905932738,117,153.2941176470588,176
41,21.0,5.170882945826411,3.313739659777149,12.356490265800115,2.4142257930168283,24.63908729652601,117,132.64285714285714,149
42,103.5,11.479559785988718,11.757246769391527,15.34574097614346,9.543504016053557,45.26345596729059,118,137.3985507246377,159
43,118.5,12.283276682185287,76.2096938041467,19.602076859763926,9.833295843243977,63.57716446627535,116,139.71308016877637,171
44,40.0,7.136496464611085,4.769752816161495,15.533301871245445,3.7486624917112445,33.36396103067892,116,135.39375,153
45,7.25,3.0382538898732494,-55.39393359306656,4.106328593905543,2.361782783502336,9.535533905932738,116,149.31034482758622,179
46,52.25,8.156394191823509,-1.0593247652555293,10.403320924962438,6.654491516037091,31.192388155425117,117,136.22966507177034,154
47,3.0,1.9544100476116797,90.00003218077504,2.23606797749979,1.632993161855452,5.0,121,140.0,172
48,7.5,3.0901936161855166,-19.423454869530605,3.908239916561521,2.433354949478344,9.121320343559642,116,125.96666666666667,135
49,3.75,2.1850968611841584,-3.514199376026127,3.1711423993569103,1.4867826168164484,5.810660171779821,120,127.13333333333334,137
